type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_CVaR    	O_CVaR    	T_CVaR    
tm        	11478.7453	0.7881    	1213.2911 	5106.90467225	5106.90467225	0         	24.77996879	-2529.98072596	-9158.23557169	-11688.21629766
tm        	11475.0687	0.7882    	1213.5242 	5106.90467225	5106.90467225	0         	24.78367347	-2528.92963259	-9159.35919008	-11688.28882267
tm        	11471.3927	0.7883    	1213.7571 	5106.90467225	5106.90467225	0         	24.78737694	-2527.87872896	-9160.48266949	-11688.36139844
tm        	11467.7255	0.7884    	1213.9882 	5106.90467225	5106.90467225	0         	24.79107556	-2526.82997113	-9161.60405388	-11688.43402501
tm        	11464.0425	0.7885    	1214.2226 	5106.90467225	5106.90467225	0         	24.79478028	-2525.77749095	-9162.72921143	-11688.50670238
tm        	11460.3764	0.7886    	1214.4535 	5106.90467225	5106.90467225	0         	24.7984765	-2524.72911196	-9163.85031863	-11688.57943059
tm        	11456.6946	0.7887    	1214.6876 	5106.90467225	5106.90467225	0         	24.80217881	-2523.67701204	-9164.97519763	-11688.65220966
tm        	11453.0216	0.7888    	1214.92   	5106.90467225	5106.90467225	0         	24.80587628	-2522.62705727	-9166.09798234	-11688.72503961
tm        	11449.3491	0.7889    	1215.1522 	5106.90467225	5106.90467225	0         	24.80957255	-2521.57729232	-9167.22062816	-11688.79792048
tm        	11445.6772	0.789     	1215.3842 	5106.90467225	5106.90467225	0         	24.81326761	-2520.52771719	-9168.34313508	-11688.87085227
tm        	11442.0059	0.7891    	1215.6162 	5106.90467225	5106.90467225	0         	24.81696148	-2519.4783319	-9169.46550312	-11688.94383502
tm        	11438.3271	0.7892    	1215.8497 	5106.90467225	5106.90467225	0         	24.8206578	-2518.42718317	-9170.58968557	-11689.01686874
tm        	11434.6488	0.7893    	1216.0831 	5106.90467225	5106.90467225	0         	24.82435291	-2517.37622501	-9171.71372846	-11689.08995348
tm        	11430.9793	0.7894    	1216.3147 	5106.90467225	5106.90467225	0         	24.82804318	-2516.32741	-9172.83567923	-11689.16308923
tm        	11427.3022	0.7895    	1216.5479 	5106.90467225	5106.90467225	0         	24.8317359	-2515.27683264	-9173.9594434	-11689.23627604
tm        	11423.6257	0.7896    	1216.7809 	5106.90467225	5106.90467225	0         	24.83542742	-2514.22644587	-9175.08306805	-11689.30951392
tm        	11419.9579	0.7897    	1217.0122 	5106.90467225	5106.90467225	0         	24.8391141	-2513.17820124	-9176.20460166	-11689.3828029
tm        	11416.2826	0.7898    	1217.245  	5106.90467225	5106.90467225	0         	24.84280322	-2512.12819536	-9177.32794765	-11689.45614301
tm        	11412.6078	0.7899    	1217.4777 	5106.90467225	5106.90467225	0         	24.84649115	-2511.0783801	-9178.45115416	-11689.52953426
tm        	11408.9337	0.79      	1217.7102 	5106.90467225	5106.90467225	0         	24.85017788	-2510.02875549	-9179.5742212	-11689.60297669
tm        	11405.2601	0.7901    	1217.9426 	5106.90467225	5106.90467225	0         	24.85386341	-2508.97932153	-9180.69714878	-11689.67647031
tm        	11401.5872	0.7902    	1218.1749 	5106.90467225	5106.90467225	0         	24.85754775	-2507.93007825	-9181.81993691	-11689.75001515
tm        	11397.9107	0.7903    	1218.408  	5106.90467225	5106.90467225	0         	24.8612327	-2506.88005092	-9182.94356032	-11689.82361123
tm        	11394.2348	0.7904    	1218.6409 	5106.90467225	5106.90467225	0         	24.86491647	-2505.83021464	-9184.06704395	-11689.89725859
tm        	11390.5555	0.7905    	1218.8745 	5106.90467225	5106.90467225	0         	24.86860085	-2504.77959504	-9185.19136221	-11689.97095724
tm        	11386.8849	0.7906    	1219.1063 	5106.90467225	5106.90467225	0         	24.8722804	-2503.73111525	-9186.31359196	-11690.0447072
tm        	11383.2149	0.7907    	1219.338  	5106.90467225	5106.90467225	0         	24.87595876	-2502.6828262	-9187.43568232	-11690.11850851
tm        	11379.5454	0.7908    	1219.5696 	5106.90467225	5106.90467225	0         	24.87963593	-2501.63472789	-9188.5576333	-11690.19236119
tm        	11375.8685	0.7909    	1219.8027 	5106.90467225	5106.90467225	0         	24.88331554	-2500.58487299	-9189.68139227	-11690.26626525
tm        	11372.1921	0.791     	1220.0358 	5106.90467225	5106.90467225	0         	24.88699395	-2499.53520955	-9190.80501118	-11690.34022073
tm        	11368.5163	0.7911    	1220.2687 	5106.90467225	5106.90467225	0         	24.89067116	-2498.48573759	-9191.92849006	-11690.41422765
tm        	11364.8411	0.7912    	1220.5014 	5106.90467225	5106.90467225	0         	24.89434718	-2497.43645713	-9193.05182891	-11690.48828604
tm        	11361.1746	0.7913    	1220.7324 	5106.90467225	5106.90467225	0         	24.89801839	-2496.38931414	-9194.17308178	-11690.56239592
tm        	11357.4925	0.7914    	1220.9666 	5106.90467225	5106.90467225	0         	24.90169565	-2495.33847074	-9195.29808657	-11690.63655731
tm        	11353.8272	0.7915    	1221.1973 	5106.90467225	5106.90467225	0         	24.90536447	-2494.29171011	-9196.41906013	-11690.71077024
tm        	11350.1462	0.7916    	1221.4313 	5106.90467225	5106.90467225	0         	24.90903934	-2493.24125048	-9197.54378425	-11690.78503473
tm        	11346.474 	0.7917    	1221.6634 	5106.90467225	5106.90467225	0         	24.91270941	-2492.19292768	-9198.66642313	-11690.85935081
tm        	11342.8023	0.7918    	1221.8955 	5106.90467225	5106.90467225	0         	24.91637828	-2491.14479645	-9199.78892206	-11690.93371851
tm        	11339.1232	0.7919    	1222.1291 	5106.90467225	5106.90467225	0         	24.92004958	-2490.09491293	-9200.91322491	-11691.00813784
tm        	11335.4527	0.792     	1222.3609 	5106.90467225	5106.90467225	0         	24.92371606	-2489.04716523	-9202.0354436	-11691.08260883
tm        	11331.7828	0.7921    	1222.5925 	5106.90467225	5106.90467225	0         	24.92738137	-2487.99960915	-9203.15752237	-11691.15713152
tm        	11328.1054	0.7922    	1222.8258 	5106.90467225	5106.90467225	0         	24.93104909	-2486.95030185	-9204.28140406	-11691.23170591
tm        	11324.4286	0.7923    	1223.0589 	5106.90467225	5106.90467225	0         	24.93471563	-2485.90118689	-9205.40514516	-11691.30633205
tm        	11320.7565	0.7924    	1223.291  	5106.90467225	5106.90467225	0         	24.93837917	-2484.85323534	-9206.5277746	-11691.38100994
tm        	11317.0849	0.7925    	1223.523  	5106.90467225	5106.90467225	0         	24.94204152	-2483.80547581	-9207.65026382	-11691.45573963
tm        	11313.4099	0.7926    	1223.7557 	5106.90467225	5106.90467225	0         	24.94570449	-2482.75693757	-9208.77358355	-11691.53052113
tm        	11309.7355	0.7927    	1223.9884 	5106.90467225	5106.90467225	0         	24.94936627	-2481.70859173	-9209.89676273	-11691.60535446
tm        	11306.0616	0.7928    	1224.2208 	5106.90467225	5106.90467225	0         	24.95302686	-2480.66043829	-9211.01980137	-11691.68023966
tm        	11302.3884	0.7929    	1224.4532 	5106.90467225	5106.90467225	0         	24.95668626	-2479.61247726	-9212.14269949	-11691.75517675
tm        	11298.7157	0.793     	1224.6855 	5106.90467225	5106.90467225	0         	24.96034448	-2478.56470865	-9213.2654571	-11691.83016575
tm        	11295.0437	0.7931    	1224.9176 	5106.90467225	5106.90467225	0         	24.96400151	-2477.51713249	-9214.3880742	-11691.90520669
tm        	11291.3641	0.7932    	1225.1512 	5106.90467225	5106.90467225	0         	24.96766095	-2476.46780942	-9215.51249018	-11691.9802996
