time      	proj_id   	c_fixed   	c_low     	c_high    	d_low     	d_high    	disc_rate 	b_t_enpv  	o_income  	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
2025-10-16 17:10:58	018       	-5000     	-40000    	-1000     	1         	10        	0.05      	5000      	100000    	ls        	33554.8771	0         	0         	5000.0    	50896.78177923	33.54732872	28.8930251	-13385.73056979	-9678.72680446	-23064.45737425
2025-10-16 17:10:58	018       	-5000     	-40000    	-1000     	1         	10        	0.05      	5000      	100000    	cp        	12242.2889	0.8358    	0         	5000.0    	50896.78177923	0         	33.34858957	-2942.88343609	-14978.33321454	-17921.21665062
2025-10-16 17:10:58	018       	-5000     	-40000    	-1000     	1         	10        	0.05      	5000      	100000    	lh        	33554.8771	0         	0         	5000.0    	50896.78177923	33.54732872	28.8930251	-13385.73056979	-9678.72680446	-23064.45737425
2025-10-16 17:10:58	018       	-5000     	-40000    	-1000     	1         	10        	0.05      	5000      	100000    	tm        	7248.479  	0.9375    	464.8177  	5000.0    	50896.78177923	0         	35.53795082	-1019.3310087	-16901.88564193	-17921.21665062
2025-10-16 17:10:56	017       	-5000     	-40000    	-1000     	1         	10        	0.025     	5000      	100000    	ls        	31949.8497	0         	0         	5000.0    	59433.22556478	35.38273833	11.87990861	-15305.2925524	-5836.12690609	-21141.41945849
2025-10-16 17:10:56	017       	-5000     	-40000    	-1000     	1         	10        	0.025     	5000      	100000    	cp        	10122.4469	0.856     	0         	5000.0    	59433.22556478	0         	33.6397806	-2423.06626819	-14401.05070964	-16824.11697782
2025-10-16 17:10:56	017       	-5000     	-40000    	-1000     	1         	10        	0.025     	5000      	100000    	lh        	31949.8497	0         	0         	5000.0    	59433.22556478	35.38273833	11.87990861	-15305.2925524	-5836.12690609	-21141.41945849
2025-10-16 17:10:56	017       	-5000     	-40000    	-1000     	1         	10        	0.025     	5000      	100000    	tm        	8287.1338 	0.9062    	103.7892  	5000.0    	59433.22556478	0         	34.59686209	-1570.15253907	-15253.96443876	-16824.11697782
2025-10-16 17:10:54	016       	-5000     	-40000    	-1000     	1         	60        	0.1       	5000      	100000    	ls        	85884.2006	0         	0         	5000.0    	2158.90066709	58.37957191	0         	-9785.60964364	-2111.90525529	-11897.51489893
2025-10-16 17:10:54	016       	-5000     	-40000    	-1000     	1         	60        	0.1       	5000      	100000    	cp        	81356.4487	0.1776    	0         	5000.0    	2158.90066709	58.29442159	0         	-9784.52986451	-2112.38281626	-11896.91268076
2025-10-16 17:10:54	016       	-5000     	-40000    	-1000     	1         	60        	0.1       	5000      	100000    	lh        	81633.1333	0         	392.2398  	5000.0    	2158.90066709	56.84495061	0         	-9724.79559954	-2172.11144642	-11896.90704595
2025-10-16 17:10:54	016       	-5000     	-40000    	-1000     	1         	60        	0.1       	5000      	100000    	tm        	76301.6165	0.1707    	482.4738  	5000.0    	2158.90066709	56.40478684	0         	-9709.95961866	-2175.0516117	-11885.01123036
2025-10-16 17:10:46	015       	-5000     	-40000    	-1000     	1         	30        	0.1       	5000      	100000    	ls        	54416.1314	0         	0         	5000.0    	13440.17337883	39.55785677	45.29134329	-8446.51408751	-10816.55639082	-19263.07047834
2025-10-16 17:10:46	015       	-5000     	-40000    	-1000     	1         	30        	0.1       	5000      	100000    	cp        	39794.9051	0.5734    	0         	5000.0    	13440.17337883	37.78485651	45.64353746	-8089.48463501	-10872.40715543	-18961.89179043
2025-10-16 17:10:46	015       	-5000     	-40000    	-1000     	1         	30        	0.1       	5000      	100000    	lh        	41445.8454	0         	1392.9446 	5000.0    	13440.17337883	24.06334403	51.83503245	-6793.45412248	-12358.95360411	-19152.40772659
2025-10-16 17:10:46	015       	-5000     	-40000    	-1000     	1         	30        	0.1       	5000      	100000    	tm        	34826.8994	0.5       	734.4997  	5000.0    	13440.17337883	29.9100972	49.27967943	-7284.0751644	-11677.81662603	-18961.89179043
2025-10-16 17:10:44	014       	-5000     	-40000    	-1000     	1         	15        	0.1       	5000      	100000    	ls        	41036.6744	0         	0         	5000.0    	28711.2335729	28.26235638	42.07380542	-8761.64024915	-14600.78367469	-23362.42392384
2025-10-16 17:10:44	014       	-5000     	-40000    	-1000     	1         	15        	0.1       	5000      	100000    	cp        	22123.8793	0.7417    	0         	5000.0    	28711.2335729	8.47538304	42.80335434	-5390.91958068	-15478.00691067	-20868.92649135
