type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     	B_CVaR    	O_CVaR    	T_CVaR    
tm        	0.54-0.8  	4734.0544 	0.54      	3917.3462 	5106.90467225	5106.90467225	14.89911943	33.12196028	-9369.33480084	-10735.78353062	-20105.11833146	-11462.79542301	-11596.11596977	-23058.91139279
tm        	0.54-0.81 	4497.3517 	0.54      	3966.3131 	5106.90467225	5106.90467225	15.12198378	33.42169736	-9481.56087003	-10814.38994721	-20295.95081724	-11593.03382407	-11679.22309872	-23272.25692279
tm        	0.54-0.82 	4260.649  	0.54      	4015.2799 	5106.90467225	5106.90467225	15.34484902	33.71412379	-9594.21493012	-10893.09323735	-20487.30816747	-11723.56385306	-11762.39702947	-23485.96088253
tm        	0.54-0.83 	4023.9462 	0.54      	4064.2467 	5106.90467225	5106.90467225	15.56771512	33.99950379	-9707.28746673	-10971.89150092	-20679.17896765	-11854.37910972	-11845.63644717	-23700.01555689
tm        	0.54-0.84 	3787.2435 	0.54      	4113.2135 	5106.90467225	5106.90467225	15.79058204	34.27808903	-9820.76931682	-11050.78289872	-20871.55221554	-11985.47342632	-11928.94007927	-23914.41350558
tm        	0.54-0.85 	3550.5408 	0.54      	4162.1804 	5106.90467225	5106.90467225	16.01344974	34.55011932	-9934.65165051	-11129.76564977	-21064.41730028	-12116.84085584	-12012.30669368	-24129.14754952
tm        	0.54-0.86 	3313.8381 	0.54      	4211.1472 	5106.90467225	5106.90467225	16.23631819	34.81582333	-10048.92595426	-11208.83802875	-21257.76398301	-12248.47566107	-12095.73509703	-24344.2107581
tm        	0.54-0.87 	3077.1354 	0.54      	4260.114  	5106.90467225	5106.90467225	16.45918735	35.0754192	-10163.58401499	-11287.99836366	-21451.58237865	-12380.37230428	-12179.22413293	-24559.59643721
tm        	0.54-0.88 	2840.4326 	0.54      	4309.0809 	5106.90467225	5106.90467225	16.6820572	35.32911516	-10278.61790543	-11367.2450335	-21645.86293893	-12512.5254376	-12262.77268043	-24775.29811804
tm        	0.54-0.89 	2603.7299 	0.54      	4358.0477 	5106.90467225	5106.90467225	16.90492771	35.57711009	-10394.01997015	-11446.57646617	-21840.59643632	-12644.92989396	-12346.37965253	-24991.3095465
tm        	0.54-0.9  	2367.0272 	0.54      	4407.0145 	5106.90467225	5106.90467225	17.12779885	35.81959402	-10509.78281264	-11525.99113637	-22035.77394901	-12777.58067861	-12430.04399475	-25207.62467336
tm        	0.54-0.91 	2130.3245 	0.54      	4455.9813 	5106.90467225	5106.90467225	17.3506706	36.05674863	-10625.89928303	-11605.48756378	-22231.38684681	-12910.47296113	-12513.76468376	-25424.23764489
tm        	0.54-0.92 	1893.6218 	0.54      	4504.9482 	5106.90467225	5106.90467225	17.57354292	36.28874771	-10742.36246673	-11685.06431114	-22427.42677787	-13043.6020679	-12597.54072617	-25641.14279407
tm        	0.54-0.93 	1656.919  	0.54      	4553.915  	5106.90467225	5106.90467225	17.79641581	36.51575757	-10859.16567356	-11764.71998258	-22623.88565614	-13176.96347504	-12681.37115729	-25858.33463233
tm        	0.54-0.94 	1420.2163 	0.54      	4602.8818 	5106.90467225	5106.90467225	18.01928923	36.73793742	-10976.30242763	-11844.45322195	-22820.75564958	-13310.55280174	-12765.25503999	-26075.80784174
tm        	0.54-0.95 	1183.5136 	0.54      	4651.8487 	5106.90467225	5106.90467225	18.24216317	36.95543981	-11093.7664578	-11924.26271128	-23018.02916908	-13444.36580398	-12849.1914636	-26293.55726758
tm        	0.54-0.96 	946.8109  	0.54      	4700.8155 	5106.90467225	5106.90467225	18.4650376	37.16841089	-11211.55168862	-12004.14716928	-23215.69885789	-13578.39836858	-12933.1795429	-26511.57791147
tm        	0.54-0.97 	710.1082  	0.54      	4749.7823 	5106.90467225	5106.90467225	18.68791251	37.37699082	-11329.65223184	-12084.10534995	-23413.75758179	-13712.64650757	-13017.21841713	-26729.8649247
tm        	0.54-0.98 	473.4054  	0.54      	4798.7491 	5106.90467225	5106.90467225	18.91078789	37.58131401	-11448.06237836	-12164.13604123	-23612.19841959	-13847.10635294	-13101.30724907	-26948.41360202
tm        	0.54-0.99 	236.7027  	0.54      	4847.716  	5106.90467225	5106.90467225	19.1336637	37.78150947	-11566.77659069	-12244.23806372	-23811.01465441	-13981.7741516	-13185.44522413	-27167.21937573
tm        	0.54-1.0  	0.0       	0.54      	4896.6828 	5106.90467225	5106.90467225	19.35653995	37.97770101	-11685.78949568	-12324.41026947	-24010.19976515	-14116.64626063	-13269.63154952	-27386.27781014
cp        	0.55-0.0  	23415.272 	0.55      	0.0       	5106.90467225	5106.90467225	8.01228322	10.09450837	-5581.53969717	-5716.5929674	-11298.13266457	-6087.64948951	-6070.66892312	-12158.31841262
tm        	0.55-0.01 	23181.1193	0.55      	48.4393   	5106.90467225	5106.90467225	7.60313471	10.24492083	-5514.18117692	-5734.5936678	-11248.77484471	-6011.72726189	-6060.23211594	-12071.95937783
tm        	0.55-0.02 	22946.9666	0.55      	96.8786   	5106.90467225	5106.90467225	7.19399713	10.3953333	-5447.55371612	-5752.59436819	-11200.14808431	-5936.22759822	-6057.55974019	-11993.78733841
tm        	0.55-0.03 	22712.8139	0.55      	145.3179  	5106.90467225	5106.90467225	6.78487284	10.54574576	-5381.73544237	-5770.59506858	-11152.33051095	-5861.19028083	-6062.46474563	-11923.65502646
tm        	0.55-0.04 	22478.6612	0.55      	193.7572  	5106.90467225	5106.90467225	6.3757649 	10.69615823	-5316.82070661	-5788.59576897	-11105.41647558	-5786.66237679	-6074.2764333	-11860.93881009
tm        	0.55-0.05 	22244.5084	0.55      	242.1965  	5106.90467225	5106.90467225	5.96667745	10.84657069	-5252.92553822	-5806.59646936	-11059.52200758	-5712.70040202	-6091.97154995	-11804.67195197
tm        	0.55-0.06 	22010.3557	0.55      	290.6358  	5106.90467225	5106.90467225	5.55761608	10.99698315	-5190.19583802	-5824.59716976	-11014.79300777	-5639.37344593	-6116.47787485	-11755.85132077
tm        	0.55-0.07 	21776.203 	0.55      	339.0752  	5106.90467225	5106.90467225	5.14858863	11.14739562	-5128.82028126	-5842.59787015	-10971.41815141	-5566.76786853	-6148.35930843	-11715.12717696
tm        	0.55-0.08 	21542.0503	0.55      	387.5145  	5106.90467225	5106.90467225	4.73960642	11.29780808	-5069.05191717	-5863.09735772	-10932.14927488	-5494.99473302	-6187.81538876	-11682.81012178
tm        	0.55-0.09 	21307.8976	0.55      	435.9538  	5106.90467225	5106.90467225	4.33068636	11.44822055	-5011.24740194	-5891.04351271	-10902.29091465	-5424.2023923	-6233.51830398	-11657.72069627
tm        	0.55-0.1  	21073.7448	0.55      	484.3931  	5106.90467225	5106.90467225	3.92185482	11.59863301	-4955.9470292	-5924.87776977	-10880.82479897	-5354.59992741	-6283.85115389	-11638.45108131
tm        	0.55-0.11 	20839.5921	0.55      	532.8324  	5106.90467225	5106.90467225	3.51315529	11.74904548	-4904.07053895	-5963.34640635	-10867.41694529	-5286.50763367	-6337.75805164	-11624.26568531
tm        	0.55-0.12 	20605.4394	0.55      	581.2717  	5106.90467225	5106.90467225	3.10466433	11.90124268	-4857.59638954	-6005.57056429	-10863.16695383	-5220.49909088	-6394.51745993	-11615.0165508
tm        	0.55-0.13 	20371.2867	0.55      	629.711   	5106.90467225	5106.90467225	2.69652896	12.0753719	-4827.67841036	-6050.90914463	-10878.58755499	-5158.54775002	-6453.61382135	-11612.16157137
tm        	0.55-0.14 	20137.134 	0.55      	678.1503  	5106.90467225	5106.90467225	2.28906454	12.27245756	-4809.67770997	-6098.8792423	-10908.55695227	-5105.56796558	-6514.66533303	-11620.23329861
tm        	0.55-0.15 	19902.9812	0.55      	726.5896  	5106.90467225	5106.90467225	1.92656272	12.48790837	-4791.67700957	-6149.10739765	-10940.78440722	-5062.27592456	-6577.38085986	-11639.65678442
tm        	0.55-0.16 	19668.8285	0.55      	775.0289  	5106.90467225	5106.90467225	1.66859864	12.71828087	-4773.67630918	-6201.29836437	-10974.97467355	-5028.66673828	-6641.53295325	-11670.19969154
tm        	0.55-0.17 	19434.6758	0.55      	823.4682  	5106.90467225	5106.90467225	1.47171933	12.96094182	-4755.67560879	-6255.21433752	-11010.88994631	-5004.31109823	-6706.94025472	-11711.25135295
tm        	0.55-0.18 	19200.5231	0.55      	871.9075  	5106.90467225	5106.90467225	1.32048756	13.21384314	-4737.6749084	-6310.6606931	-11048.33560149	-4986.14779668	-6773.45561813	-11759.60341481
tm        	0.55-0.19 	18966.3704	0.55      	920.3469  	5106.90467225	5106.90467225	1.22628234	13.47536793	-4719.674208	-6367.4759274	-11087.1501354	-4975.45086727	-6840.95785236	-11816.40871963
tm        	0.55-0.2  	18732.2176	0.55      	968.7862  	5106.90467225	5106.90467225	1.2105735 	13.74422267	-4701.67350761	-6425.52438972	-11127.19789733	-4974.47277811	-6909.34583278	-11883.81861089
